RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023
102001,0,United States,country,,31,21,19,18,20,22,26,29,33,38,44,41,33,23,20,20,21,24,26,28,31,36,40,36,26,19,18,19,16,14,14,13,13,14,16,14,11,8,7,7,7,8,9,10,10,11,11,10,7,6,6,7,9,12,15,17,19,24,28,27
394913,1,"New York, NY",msa,NY,58,43,38,40,43,48,53,55,58,62,72,72,64,51,45,45,49,55,59,59,59,64,74,73,61,49,47,44,38,30,30,31,33,37,47,47,42,30,26,26,29,31,34,35,39,40,44,39,33,24,22,23,26,30,34,35,36,39,47,45
753899,2,"Los Angeles, CA",msa,CA,17,14,15,15,17,19,22,24,27,31,36,35,29,22,20,20,21,22,23,23,24,27,26,22,16,15,15,16,15,14,13,13,13,13,13,12,10,10,10,10,10,11,12,12,12,12,12,11,10,10,10,11,14,17,20,22,23,27,32,30
394463,3,"Chicago, IL",msa,IL,32,17,15,16,18,21,25,30,35,44,53,47,35,20,18,18,21,24,28,33,38,46,54,47,34,22,20,19,16,14,13,13,14,18,20,18,12,8,6,6,7,9,11,12,14,17,17,14,9,6,6,6,8,11,14,15,18,23,27,24
394514,4,"Dallas, TX",msa,TX,27,21,20,20,22,25,28,31,35,38,42,39,35,28,26,26,27,30,33,36,39,42,45,42,35,28,26,26,25,24,23,22,22,22,22,20,17,15,13,13,13,14,16,17,17,17,16,15,11,8,5,6,7,10,13,16,18,23,29,27
394692,5,"Houston, TX",msa,TX,27,19,16,17,19,22,27,31,33,36,39,37,31,24,21,21,23,26,31,34,36,38,42,38,31,24,23,23,20,18,17,16,15,15,15,13,10,8,7,7,7,8,10,11,11,11,11,10,8,7,7,7,9,12,17,20,23,27,33,33
395209,6,"Washington, DC",msa,VA,37,27,24,21,19,18,19,21,24,31,34,28,19,11,10,12,15,17,18,18,21,26,26,20,11,9,9,10,9,7,9,9,9,7,7,7,5,5,5,5,6,7,8,9,9,10,9,7,5,5,5,6,8,10,12,13,16,21,21,17
394856,7,"Miami, FL",msa,FL,43,39,38,38,37,37,38,40,42,45,49,50,47,45,45,45,43,43,43,43,43,45,50,48,43,39,41,43,39,33,28,27,26,28,33,33,29,21,16,14,14,14,15,15,15,15,15,14,12,10,10,11,13,16,19,23,25,29,32,33
394974,8,"Philadelphia, PA",msa,PA,46,33,27,29,29,29,27,29,32,37,43,40,31,20,16,17,19,22,23,23,25,32,38,34,23,16,16,15,11,9,12,12,13,11,12,11,8,7,6,6,7,9,10,10,10,11,11,10,8,7,7,7,9,10,11,11,12,15,17,15
394347,9,"Atlanta, GA",msa,GA,18,12,11,11,12,13,16,18,20,24,27,25,20,15,14,14,16,18,20,22,24,28,32,30,23,17,17,19,19,17,15,14,14,14,12,10,7,6,6,6,6,7,7,8,8,9,9,8,7,6,6,7,9,11,14,17,21,27,33,31
