Median Sale Price SizeRank,Median Sale Price RegionName,Median Sale Price 8/31/2018,Median Sale Price 9/30/2018,Median Sale Price 10/31/2018,Median Sale Price 11/30/2018,Median Sale Price 12/31/2018,Median Sale Price 1/31/2019,Median Sale Price 2/28/2019,Median Sale Price 3/31/2019,Median Sale Price 4/30/2019,Median Sale Price 5/31/2019,Median Sale Price 6/30/2019,Median Sale Price 7/31/2019,Median Sale Price 8/31/2019,Median Sale Price 9/30/2019,Median Sale Price 10/31/2019,Median Sale Price 11/30/2019,Median Sale Price 12/31/2019,Median Sale Price 1/31/2020,Median Sale Price 2/29/2020,Median Sale Price 3/31/2020,Median Sale Price 4/30/2020,Median Sale Price 5/31/2020,Median Sale Price 6/30/2020,Median Sale Price 7/31/2020,Median Sale Price 8/31/2020,Median Sale Price 9/30/2020,Median Sale Price 10/31/2020,Median Sale Price 11/30/2020,Median Sale Price 12/31/2020,Median Sale Price 1/31/2021,Median Sale Price 2/28/2021,Median Sale Price 3/31/2021,Median Sale Price 4/30/2021,Median Sale Price 5/31/2021,Median Sale Price 6/30/2021,Median Sale Price 7/31/2021,Median Sale Price 8/31/2021,Median Sale Price 9/30/2021,Median Sale Price 10/31/2021,Median Sale Price 11/30/2021,Median Sale Price 12/31/2021,Median Sale Price 1/31/2022,Median Sale Price 2/28/2022,Median Sale Price 3/31/2022,Median Sale Price 4/30/2022,Median Sale Price 5/31/2022,Median Sale Price 6/30/2022,Median Sale Price 7/31/2022,Median Sale Price 8/31/2022,Median Sale Price 9/30/2022,Median Sale Price 10/31/2022,Median Sale Price 11/30/2022,Median Sale Price 12/31/2022,Median Sale Price 1/31/2023
0,United States,234730.0,234204.0,234463.0,235793.0,236051.0,237189.0,237591.0,240356.0,242432.0,244478.0,245294.0,245623.0,246221.0,247418.0,249590.0,251712.0,252815.0,253820.0,255663.0,258857.0,260130.0,257486.0,254313.0,257111.0,264393.0,273769.0,279883.0,284748.0,286889.0,287608.0,289748.0,293535.0,300363.0,305921.0,310805.0,313031.0,315371.0,317172.0,320822.0,324312.0,327469.0,328421.0,332035.0,338254.0,347712.0,354759.0,357096.0,353337.0,347545.0,343106.0,340474.0,337433.0,333395.0,330963
1,"New York, NY",400544.0,406886.0,405333.0,408229.0,400611.0,401382.0,400577.0,401650.0,401362.0,400485.0,401320.0,403123.0,402336.0,403169.0,406625.0,411577.0,415474.0,416429.0,420424.0,422374.0,426461.0,426871.0,425329.0,420681.0,421125.0,428813.0,443549.0,458444.0,467684.0,470841.0,472595.0,475084.0,481811.0,486386.0,493072.0,497081.0,500640.0,506223.0,511071.0,512890.0,511296.0,512488.0,515470.0,521147.0,530064.0,537957.0,545143.0,551160.0,557161.0,554162.0,545334.0,535995.0,531301.0,528584
2,"Los Angeles, CA",631226.0,627691.0,629338.0,630193.0,628718.0,624524.0,621848.0,625020.0,628934.0,629119.0,630231.0,635454.0,637717.0,641615.0,641310.0,645077.0,650281.0,657079.0,662273.0,665494.0,659000.0,651676.0,648334.0,663259.0,685913.0,707923.0,721213.0,728228.0,730782.0,732694.0,741376.0,753488.0,771200.0,787484.0,800915.0,805471.0,809231.0,812744.0,820462.0,827403.0,837896.0,845381.0,855967.0,869916.0,891677.0,904875.0,903309.0,886535.0,871617.0,859954.0,856337.0,849322.0,840678.0,835434
3,"Chicago, IL",223621.0,222898.0,223829.0,227846.0,229560.0,230611.0,233522.0,236514.0,237164.0,235628.0,231883.0,230884.0,228323.0,228833.0,230961.0,235283.0,237690.0,237433.0,238918.0,242172.0,246404.0,243914.0,237789.0,235127.0,240612.0,249933.0,259538.0,263497.0,266482.0,265342.0,266423.0,266939.0,268326.0,271245.0,272539.0,273170.0,272739.0,274563.0,277094.0,279764.0,281289.0,283167.0,284890.0,286019.0,288628.0,290468.0,294768.0,295454.0,294196.0,290457.0,287437.0,286443.0,286682.0,286914
4,"Dallas, TX",259950.0,255109.0,253399.0,253805.0,254198.0,253403.0,253775.0,255327.0,257809.0,261591.0,263829.0,265973.0,265714.0,263529.0,265037.0,265546.0,267142.0,268248.0,270075.0,271255.0,273036.0,271476.0,272029.0,276179.0,284479.0,290086.0,294687.0,299964.0,301253.0,301384.0,304838.0,311021.0,319045.0,328582.0,337062.0,344698.0,346726.0,347736.0,350272.0,353701.0,358260.0,362555.0,368203.0,374935.0,388741.0,403062.0,412268.0,410701.0,404747.0,396723.0,391805.0,387637.0,381228.0,375177
5,"Houston, TX",221270.0,220449.0,220679.0,221628.0,222783.0,222752.0,224113.0,225808.0,227081.0,229079.0,230277.0,231401.0,230943.0,229897.0,229469.0,231009.0,233257.0,235085.0,236559.0,236520.0,237140.0,233821.0,234783.0,239617.0,248056.0,252495.0,255744.0,259232.0,262994.0,264184.0,267172.0,273494.0,280362.0,287310.0,292216.0,294807.0,295207.0,293405.0,295708.0,300931.0,305621.0,309726.0,313995.0,317908.0,323493.0,329674.0,334747.0,336019.0,330946.0,327666.0,323361.0,320765.0,315651.0,313690
6,"Washington, DC",385264.0,384470.0,385907.0,386526.0,390446.0,393540.0,396652.0,399836.0,399924.0,398081.0,394690.0,394319.0,394986.0,395890.0,398933.0,405673.0,409295.0,408479.0,409430.0,415923.0,424516.0,419850.0,412633.0,414132.0,425116.0,437997.0,445204.0,448315.0,448300.0,444849.0,439860.0,441126.0,447680.0,460342.0,466171.0,468462.0,468083.0,468242.0,470206.0,470798.0,471955.0,467304.0,467101.0,474499.0,492196.0,506356.0,511189.0,506821.0,499513.0,493312.0,491595.0,491614.0,484960.0,477182
7,"Miami, FL",262640.0,262100.0,265882.0,269781.0,271295.0,271013.0,270494.0,275337.0,277490.0,277690.0,274898.0,275772.0,278113.0,279799.0,282499.0,285958.0,288266.0,289948.0,290636.0,296323.0,300862.0,301689.0,299841.0,300664.0,307934.0,316470.0,321825.0,324686.0,325871.0,330130.0,335918.0,339812.0,342723.0,343468.0,345326.0,346589.0,349155.0,352720.0,357029.0,361501.0,368847.0,376714.0,385164.0,392666.0,397800.0,406140.0,411027.0,414376.0,412037.0,411279.0,414988.0,416303.0,417066.0,416790
8,"Philadelphia, PA",228012.0,228818.0,229154.0,230828.0,231552.0,234055.0,233877.0,237063.0,238637.0,240171.0,239440.0,240902.0,242439.0,242831.0,241113.0,242097.0,244502.0,247532.0,249638.0,252131.0,258638.0,259320.0,256511.0,252693.0,255722.0,264756.0,270209.0,274391.0,275566.0,278156.0,279013.0,278261.0,277513.0,276563.0,277464.0,279897.0,285826.0,291017.0,293561.0,293606.0,291870.0,295234.0,296873.0,298153.0,297838.0,304701.0,314598.0,320271.0,319425.0,318140.0,317783.0,317197.0,317316.0,316064
9,"Atlanta, GA",223112.0,224875.0,228402.0,231187.0,230909.0,230142.0,230847.0,233430.0,234124.0,235804.0,236596.0,238170.0,239375.0,241198.0,243958.0,246825.0,248577.0,249824.0,252026.0,254040.0,256604.0,251796.0,249066.0,250494.0,260724.0,270681.0,278330.0,282234.0,283566.0,284759.0,286876.0,292339.0,297924.0,304604.0,311075.0,316598.0,320410.0,325190.0,332331.0,341142.0,345569.0,347310.0,348384.0,351498.0,356674.0,364393.0,371609.0,374745.0,374322.0,371643.0,368126.0,362917.0,359244.0,354583
10,"Phoenix, AZ",264567.0,265265.0,265209.0,266190.0,267171.0,268144.0,268752.0,269175.0,270386.0,272332.0,274061.0,276230.0,278737.0,282049.0,285470.0,287252.0,289178.0,292187.0,296847.0,301679.0,301866.0,299469.0,298924.0,304214.0,313408.0,321629.0,328215.0,332642.0,335172.0,339835.0,346921.0,356354.0,365266.0,375905.0,385745.0,395149.0,402855.0,411052.0,417991.0,424051.0,428592.0,434934.0,443207.0,455278.0,465752.0,476058.0,481448.0,479299.0,470415.0,459727.0,454558.0,447240.0,438124.0,429677
11,"Boston, MA",435788.0,433103.0,435156.0,435090.0,433530.0,434012.0,438822.0,445098.0,445527.0,447898.0,449097.0,450513.0,447862.0,448534.0,451650.0,452829.0,456156.0,458801.0,466056.0,474900.0,485720.0,485737.0,479559.0,476291.0,485744.0,503513.0,512676.0,514544.0,513158.0,513173.0,521930.0,529776.0,542663.0,551802.0,561409.0,564867.0,565409.0,561424.0,562316.0,566868.0,571465.0,571492.0,570828.0,580096.0,598315.0,614825.0,627109.0,628026.0,623373.0,614386.0,609546.0,609041.0,601265.0,592401
